node_id,name
0,Afghanistan
1,Albania
2,Algeria
3,Andorra
4,Angola
5,Antarctica
6,Antigua and Barbuda
7,Argentina
8,Armenia
9,Australia
10,Austria
11,Azerbaijan
12,Bahamas
13,Bahrain
14,Bangladesh
15,Barbados
16,Belarus
17,Belgium
18,Belize
19,Benin
20,Bhutan
21,Bolivia
22,Bosnia and Herzegovina
23,Botswana
24,Brazil
25,Brunei
26,Bulgaria
27,Burkina Faso
28,Burma
29,Burundi
30,Cabo Verde
31,Cambodia
32,Cameroon
33,Canada
34,Central African Republic
35,Chad
36,Chile
37,China
38,Colombia
39,Comoros
40,Congo (Brazzaville)
41,Congo (Kinshasa)
42,Costa Rica
43,Cote d'Ivoire
44,Croatia
45,Cuba
46,Cyprus
47,Czechia
48,Denmark
49,Diamond Princess
50,Djibouti
51,Dominica
52,Dominican Republic
53,Ecuador
54,Egypt
55,El Salvador
56,Equatorial Guinea
57,Eritrea
58,Estonia
59,Eswatini
60,Ethiopia
61,Fiji
62,Finland
63,France
64,Gabon
65,Gambia
66,Georgia
67,Germany
68,Ghana
69,Greece
70,Grenada
71,Guatemala
72,Guinea
73,Guinea-Bissau
74,Guyana
75,Haiti
76,Holy See
77,Honduras
78,Hungary
79,Iceland
80,India
81,Indonesia
82,Iran
83,Iraq
84,Ireland
85,Israel
86,Italy
87,Jamaica
88,Japan
89,Jordan
90,Kazakhstan
91,Kenya
92,Kiribati
93,"Korea, North"
94,"Korea, South"
95,Kosovo
96,Kuwait
97,Kyrgyzstan
98,Laos
99,Latvia
100,Lebanon
101,Lesotho
102,Liberia
103,Libya
104,Liechtenstein
105,Lithuania
106,Luxembourg
107,MS Zaandam
108,Madagascar
109,Malawi
110,Malaysia
111,Maldives
112,Mali
113,Malta
114,Marshall Islands
115,Mauritania
116,Mauritius
117,Mexico
118,Micronesia
119,Moldova
120,Monaco
121,Mongolia
122,Montenegro
123,Morocco
124,Mozambique
125,Namibia
126,Nauru
127,Nepal
128,Netherlands
129,New Zealand
130,Nicaragua
131,Niger
132,Nigeria
133,North Macedonia
134,Norway
135,Oman
136,Pakistan
137,Palau
138,Panama
139,Papua New Guinea
140,Paraguay
141,Peru
142,Philippines
143,Poland
144,Portugal
145,Qatar
146,Romania
147,Russia
148,Rwanda
149,Saint Kitts and Nevis
150,Saint Lucia
151,Saint Vincent and the Grenadines
152,Samoa
153,San Marino
154,Sao Tome and Principe
155,Saudi Arabia
156,Senegal
157,Serbia
158,Seychelles
159,Sierra Leone
160,Singapore
161,Slovakia
162,Slovenia
163,Solomon Islands
164,Somalia
165,South Africa
166,South Sudan
167,Spain
168,Sri Lanka
169,Sudan
170,Summer Olympics 2020
171,Suriname
172,Sweden
173,Switzerland
174,Syria
175,Taiwan*
176,Tajikistan
177,Tanzania
178,Thailand
179,Timor-Leste
180,Togo
181,Tonga
182,Trinidad and Tobago
183,Tunisia
184,Turkey
185,Tuvalu
186,US
187,Uganda
188,Ukraine
189,United Arab Emirates
190,United Kingdom
191,Uruguay
192,Uzbekistan
193,Vanuatu
194,Venezuela
195,Vietnam
196,West Bank and Gaza
197,Winter Olympics 2022
198,Yemen
199,Zambia
200,Zimbabwe
